asset_id,symbol,name,provider,issuer,asset_class,vehicle_type,market,currency,risk_level,expense_ratio,leverage_flag,inverse_flag,minor_account_tradable,approved,source_name,source_reference,effective_date,last_verified_at,recommended_holding_months,liquidity_warning,tax_category,fee_schedule_id,policy_rule_ids,expected_return_assumption
KBSEC-KR-ETF-200,148020,RISE 200,KB증권,KB자산운용,domestic_equity,etf,KRX,KRW,4,0.0175,false,false,true,true,KB증권·운용사 공개정보,source:kbsec-mable,2026-07-30,2026-07-30,36,시장가격 변동과 추적오차에 유의,domestic_listed_domestic_equity_etf,kbsec_domestic,minor_security_basic,5.5
KBSEC-KR-ETF-BOND,114100,RISE 국고채3년,KB증권,KB자산운용,domestic_bond,etf,KRX,KRW,2,0.0500,false,false,true,true,KB증권·운용사 공개정보,source:kbsec-mable,2026-07-30,2026-07-30,24,금리 상승 시 가격 하락 가능,fund_distribution,kbsec_domestic,minor_security_basic,3.0
KBSEC-US-ETF-VT,VT,Vanguard Total World Stock ETF,KB증권,Vanguard,global_equity,etf,NYSE Arca,USD,4,0.0600,false,false,true,true,KB증권 해외주식 안내,source:kbsec-global,2026-07-30,2026-07-30,60,환율·해외시장·거래시간 차이 유의,overseas_listed_equity_or_etf,kbsec_overseas,minor_security_basic,6.0
KBSEC-US-ETF-BND,BND,Vanguard Total Bond Market ETF,KB증권,Vanguard,global_bond,etf,NASDAQ,USD,3,0.0300,false,false,true,true,KB증권 해외주식 안내,source:kbsec-global,2026-07-30,2026-07-30,36,환율과 금리 변동에 따른 손실 가능,overseas_listed_equity_or_etf,kbsec_overseas,minor_security_basic,3.5
KBSEC-KR-STOCK-SS,005930,삼성전자,KB증권,삼성전자,domestic_equity,stock,KRX,KRW,4,,false,false,true,true,KB증권 M-able 국내주식,source:kbsec-mable,2026-07-30,2026-07-30,60,개별기업 집중과 가격 변동 위험,domestic_listed_equity_small_shareholder,kbsec_domestic,minor_security_basic,6.5
KBSEC-KR-STOCK-SK,000660,SK하이닉스,KB증권,SK하이닉스,domestic_equity,stock,KRX,KRW,5,,false,false,true,true,KB증권 M-able 국내주식,source:kbsec-mable,2026-07-30,2026-07-30,60,개별기업·업종 집중 위험,domestic_listed_equity_small_shareholder,kbsec_domestic,minor_security_basic,7.0
KBSEC-US-STOCK-AAPL,AAPL,Apple,KB증권,Apple,global_equity,stock,NASDAQ,USD,5,,false,false,true,true,KB증권 M-able 해외주식,source:kbsec-global,2026-07-30,2026-07-30,60,환율과 개별기업 가격 변동 위험,overseas_listed_equity_or_etf,kbsec_overseas,minor_security_basic,7.0
KBSEC-US-STOCK-MSFT,MSFT,Microsoft,KB증권,Microsoft,global_equity,stock,NASDAQ,USD,5,,false,false,true,true,KB증권 M-able 해외주식,source:kbsec-global,2026-07-30,2026-07-30,60,환율과 개별기업 가격 변동 위험,overseas_listed_equity_or_etf,kbsec_overseas,minor_security_basic,7.0
KBSEC-FILTER-LEVERAGED,PROTO-LVG,필터 검증용 레버리지 ETF,KB증권,프로토타입,domestic_equity,etf,KRX,KRW,6,0.5000,true,false,true,true,프로토타입 검증 데이터,source:prototype-policy,2026-07-30,2026-07-30,0,추천 금지 검증용,domestic_listed_domestic_equity_etf,kbsec_domestic,prohibited_leverage,0
KBSEC-FILTER-INVERSE,PROTO-INV,필터 검증용 인버스 ETF,KB증권,프로토타입,domestic_equity,etf,KRX,KRW,6,0.5000,false,true,true,true,프로토타입 검증 데이터,source:prototype-policy,2026-07-30,2026-07-30,0,추천 금지 검증용,domestic_listed_domestic_equity_etf,kbsec_domestic,prohibited_inverse,0
KBSEC-FILTER-UNAPPROVED,PROTO-NA,필터 검증용 미승인 자산,KB증권,프로토타입,global_equity,stock,NASDAQ,USD,6,,false,false,true,false,프로토타입 검증 데이터,source:prototype-policy,2026-07-30,2026-07-30,0,추천 금지 검증용,overseas_listed_equity_or_etf,kbsec_overseas,unapproved,0
